rank,ngram,early_pct_2021_22,late_pct_2024_25,pp_change,multiple,late_n,early_n
462,and secure,0.4691,0.7348,0.2657,1.57,448,534
463,and compliance with,0.3575,0.6216,0.2641,1.74,379,407
464,github actions,0.4348,0.6987,0.2639,1.61,426,495
465,and technical,1.6259,1.8895,0.2636,1.16,1152,1851
466,defense,0.6403,0.9038,0.2634,1.41,551,729
467,large language,0.0632,0.3264,0.2632,5.16,199,72
468,built a,1.0233,1.2859,0.2626,1.26,784,1165
469,that support,0.2363,0.4986,0.2623,2.11,304,269
470,security and,1.4634,1.7255,0.2621,1.18,1052,1666
471,operational efficiency.,0.5253,0.7873,0.262,1.5,480,598
472,growth.,0.5499,0.8119,0.262,1.48,495,626
473,accuracy by,0.3821,0.643,0.2609,1.68,392,435
474,i oversee,0.13,0.3904,0.2604,3.0,238,148
475,teams to ensure,0.7668,1.0268,0.2599,1.34,626,873
476,environments,1.8929,2.1519,0.259,1.14,1312,2155
477,threats,0.614,0.8726,0.2586,1.42,532,699
478,assess,1.2482,1.5057,0.2575,1.21,918,1421
479,recommendations,1.8833,2.1405,0.2572,1.14,1305,2144
480,with organizational,0.4023,0.6594,0.2571,1.64,402,458
481,ai tools,0.0676,0.3248,0.2571,4.8,198,77
482,scalability and,0.7273,0.9841,0.2568,1.35,600,828
483,agent,0.4647,0.72,0.2554,1.55,439,529
484,cross-functionally with,0.332,0.5872,0.2552,1.77,358,378
485,collaborate closely,0.1239,0.3789,0.255,3.06,231,141
486,investment,0.8046,1.0596,0.255,1.32,646,916
487,flows,1.0936,1.3482,0.2546,1.23,822,1245
488,fastapi,0.1344,0.3887,0.2543,2.89,237,153
489,coordinating,1.4335,1.6878,0.2542,1.18,1029,1632
490,architected,0.7431,0.9972,0.2541,1.34,608,846
491,collaborate closely with,0.1221,0.3756,0.2535,3.08,229,139
492,passionate about,0.1862,0.4396,0.2534,2.36,268,212
493,experience,7.7492,8.0026,0.2534,1.03,4879,8822
494,apply,0.5569,0.8103,0.2534,1.45,494,634
495,authentication,1.0954,1.3482,0.2529,1.23,822,1247
496,a scalable,0.3935,0.6462,0.2527,1.64,394,448
497,organizations,1.1191,1.3712,0.2521,1.23,836,1274
498,tailwind,0.1581,0.4101,0.2519,2.59,250,180
499,a comprehensive,1.1674,1.4188,0.2514,1.22,865,1329
500,faster,1.0839,1.3351,0.2512,1.23,814,1234
501,to track,1.3958,1.6468,0.251,1.18,1004,1589
502,standards and,1.3817,1.632,0.2503,1.18,995,1573
503,funding,0.5639,0.8135,0.2496,1.44,496,642
504,maintaining,4.312,4.5614,0.2494,1.06,2781,4909
505,intelligent,0.2582,0.5068,0.2486,1.96,309,294
506,operational efficiency,1.0312,1.2794,0.2481,1.24,780,1174
507,dashboard,1.7744,2.0224,0.248,1.14,1233,2020
508,adoption,1.3712,1.6189,0.2477,1.18,987,1561
509,designed and implemented,1.6567,1.9043,0.2476,1.15,1161,1886
510,impact.,0.2205,0.4675,0.247,2.12,285,251
511,outcomes,0.9504,1.1973,0.2469,1.26,730,1082
512,i lead the,0.1159,0.3625,0.2465,3.13,221,132
513,and enhancing,0.997,1.2433,0.2463,1.25,758,1135
514,storytelling,0.217,0.4625,0.2456,2.13,282,247
515,ensuring timely,0.6237,0.8693,0.2456,1.39,530,710
516,remediation,0.6614,0.907,0.2456,1.37,553,753
517,empowering,0.4093,0.6544,0.2451,1.6,399,466
518,to improve,4.399,4.6434,0.2444,1.06,2831,5008
519,integrity and,0.722,0.9661,0.244,1.34,589,822
520,tech,1.8113,2.0552,0.2439,1.13,1253,2062
521,and professional,0.4418,0.6856,0.2438,1.55,418,503
522,and community,0.4453,0.6889,0.2435,1.55,420,507
523,trust,0.6193,0.8627,0.2435,1.39,526,705
524,decisions.,0.5833,0.8267,0.2434,1.42,504,664
525,gained hands-on,0.152,0.3953,0.2433,2.6,241,173
526,strategies and,0.9478,1.1908,0.243,1.26,726,1079
527,exposure,0.4164,0.6594,0.243,1.58,402,474
528,of ai,0.0905,0.333,0.2425,3.68,203,103
529,that align,0.1625,0.4035,0.241,2.48,246,185
530,visualizations,0.917,1.158,0.2409,1.26,706,1044
531,dedicated to,0.3531,0.5938,0.2406,1.68,362,402
532,databricks,0.5815,0.8217,0.2402,1.41,501,662
533,to assess,0.7537,0.9923,0.2387,1.32,605,858
534,cyber,1.0014,1.24,0.2386,1.24,756,1140
535,positioning,0.2424,0.4806,0.2381,1.98,293,276
536,s mission,0.1757,0.4133,0.2377,2.35,252,200
537,initiatives that,0.217,0.4543,0.2374,2.09,277,247
538,proactive,0.9733,1.2105,0.2372,1.24,738,1108
539,data integrity,0.9162,1.1531,0.2369,1.26,703,1043
540,assisting,1.3018,1.5385,0.2367,1.18,938,1482
541,secure and,0.4014,0.638,0.2366,1.59,389,457
542,visibility and,0.4673,0.7036,0.2363,1.51,429,532
543,a focus on,0.7431,0.9792,0.2361,1.32,597,846
544,hardware,2.2346,2.4701,0.2355,1.11,1506,2544
545,strong,2.6475,2.8818,0.2344,1.09,1757,3014
546,improving data,0.4875,0.7217,0.2342,1.48,440,555
547,leading the,0.491,0.725,0.2339,1.48,442,559
548,design and implement,0.4225,0.6561,0.2336,1.55,400,481
549,to evaluate,0.6395,0.8726,0.2331,1.36,532,728
550,ensuring accuracy,0.2609,0.4937,0.2328,1.89,301,297
551,audit,1.5223,1.755,0.2328,1.15,1070,1733
552,hands-on experience with,0.1397,0.3723,0.2327,2.67,227,159
553,decision-making and,0.3874,0.62,0.2326,1.6,378,441
554,experience.,1.4994,1.7321,0.2326,1.16,1056,1707
555,building a,0.3777,0.6102,0.2324,1.62,372,430
556,executive,1.9219,2.1536,0.2317,1.12,1313,2188
557,high-volume,0.4032,0.6348,0.2316,1.57,387,459
558,and reduce,0.6281,0.8595,0.2314,1.37,524,715
559,reliability.,0.607,0.8381,0.2312,1.38,511,691
560,campus,0.3637,0.5938,0.2301,1.63,362,414
561,systems to,1.134,1.363,0.229,1.2,831,1291
562,kpis,1.4414,1.6697,0.2283,1.16,1018,1641
563,observability,0.4067,0.6348,0.2281,1.56,387,463
564,consistency across,0.282,0.5101,0.2281,1.81,311,321
565,to ensure smooth,0.3083,0.5363,0.228,1.74,327,351
566,to inform,0.6825,0.9103,0.2278,1.33,555,777
567,pandas,0.5253,0.7529,0.2276,1.43,459,598
568,expertise,2.4332,2.6604,0.2273,1.09,1622,2770
569,a focus,0.7651,0.9923,0.2272,1.3,605,871
570,a strong,0.6061,0.8332,0.2271,1.37,508,690
571,inefficiencies,0.2978,0.5249,0.2271,1.76,320,339
572,enforce,0.3505,0.5774,0.2269,1.65,352,399
573,tailored to,0.4524,0.679,0.2267,1.5,414,515
574,with a focus,0.7045,0.93,0.2255,1.32,567,802
575,ml,0.6078,0.8332,0.2254,1.37,508,692
576,to visualize,0.4111,0.6364,0.2253,1.55,388,468
577,agents,0.4735,0.6987,0.2253,1.48,426,539
578,support strategic,0.1177,0.3428,0.2251,2.91,209,134
579,github,1.3791,1.6041,0.225,1.16,978,1570
580,accessible,0.5411,0.766,0.2249,1.42,467,616
581,oversee the,0.3461,0.5708,0.2247,1.65,348,394
582,applied,1.4898,1.714,0.2243,1.15,1045,1696
583,bridge,0.3355,0.5593,0.2238,1.67,341,382
584,gained hands-on experience,0.1388,0.3625,0.2237,2.61,221,158
585,insights into,0.6491,0.8726,0.2235,1.34,532,739
586,governance and,0.2987,0.5216,0.2229,1.75,318,340
587,frontend,1.4274,1.65,0.2227,1.16,1006,1625
588,strengthened,0.4761,0.6987,0.2226,1.47,426,542
589,prompt,0.3408,0.5626,0.2218,1.65,343,388
590,dedicated,0.766,0.9874,0.2214,1.29,602,872
591,in-depth,0.9794,1.2006,0.2212,1.23,732,1115
592,data governance,0.4515,0.6725,0.221,1.49,410,514
593,i design,0.094,0.3149,0.2209,3.35,192,107
594,club,0.455,0.6758,0.2208,1.49,412,518
595,inclusive,0.3944,0.6151,0.2207,1.56,375,449
596,core,2.2627,2.4833,0.2205,1.1,1514,2576
597,refining,0.3768,0.597,0.2202,1.58,364,429
598,mentorship,0.8116,1.0317,0.2201,1.27,629,924
599,designed to,0.4383,0.6577,0.2194,1.5,401,499
600,into clear,0.1388,0.3576,0.2188,2.58,218,158
601,strategies to,0.9785,1.1973,0.2188,1.22,730,1114
602,transforming,0.462,0.6807,0.2186,1.47,415,526
603,and refine,0.2468,0.4642,0.2173,1.88,283,281
604,000+,0.7949,1.012,0.2171,1.27,617,905
605,teams to align,0.1932,0.4101,0.2168,2.12,250,220
606,collaborating with cross-functional,0.231,0.4478,0.2168,1.94,273,263
607,by 35,0.5016,0.7184,0.2168,1.43,438,571
608,high-performance,0.5183,0.7348,0.2166,1.42,448,590
609,that align with,0.1511,0.3674,0.2163,2.43,224,172
610,assessments and,0.5393,0.7545,0.2152,1.4,460,614
611,snowflake,0.8872,1.1022,0.215,1.24,672,1010
612,documentation and,1.2236,1.4385,0.2149,1.18,877,1393
613,a full-stack,0.2662,0.4806,0.2144,1.81,293,303
614,data-driven insights,0.296,0.5101,0.2141,1.72,311,337
615,manual effort,0.2635,0.4773,0.2138,1.81,291,300
616,ensuring accurate,0.376,0.5888,0.2129,1.57,359,428
617,accelerating,0.5894,0.8021,0.2127,1.36,489,671
618,and real-time,0.3039,0.5167,0.2127,1.7,315,346
619,under,1.9983,2.211,0.2126,1.11,1348,2275
620,communication and,1.336,1.5484,0.2123,1.16,944,1521
621,i focus on,0.0782,0.2903,0.2121,3.71,177,89
622,on building,0.1897,0.4019,0.2121,2.12,245,216
623,performance metrics,0.549,0.7611,0.2121,1.39,464,625
624,policy,1.661,1.8731,0.2121,1.13,1142,1891
625,track,3.034,3.246,0.212,1.07,1979,3454
626,threat detection,0.1801,0.392,0.2119,2.18,239,205
627,i focus,0.0808,0.292,0.2111,3.61,178,92
628,scalable data,0.2978,0.5085,0.2107,1.71,310,339
629,leadership to,0.7589,0.9694,0.2104,1.28,591,864
630,latency by,0.1687,0.3789,0.2102,2.25,231,192
631,to analyze,1.0954,1.3056,0.2102,1.19,796,1247
632,resolving,1.5917,1.8009,0.2093,1.13,1098,1812
633,clarity and,0.2091,0.4183,0.2092,2.0,255,238
634,tools and,1.4757,1.6845,0.2088,1.14,1027,1680
635,to guide,0.4032,0.6118,0.2086,1.52,373,459
636,and incident,0.2565,0.4642,0.2077,1.81,283,292
637,and scalable,0.4199,0.6266,0.2067,1.49,382,478
638,continuous improvement,0.9355,1.1399,0.2045,1.22,695,1065
639,risk assessments,0.4655,0.6692,0.2037,1.44,408,530
640,focus is,0.1063,0.31,0.2037,2.92,189,121
641,outputs,0.1704,0.374,0.2036,2.19,228,194
642,enhance user,0.2363,0.4396,0.2033,1.86,268,269
643,usability and,0.3136,0.5167,0.2031,1.65,315,357
644,designed and deployed,0.2793,0.4822,0.2029,1.73,294,318
645,ai/ml,0.1941,0.3969,0.2028,2.04,242,221
646,partnerships,0.8749,1.0776,0.2027,1.23,657,996
647,i manage,0.2205,0.4232,0.2027,1.92,258,251
648,artificial,0.2653,0.4675,0.2022,1.76,285,302
649,reporting and,1.0585,1.2597,0.2012,1.19,768,1205
650,focuses on,0.1976,0.3986,0.2009,2.02,243,225
651,i ve,0.3575,0.5577,0.2002,1.56,340,407
652,custom,3.0524,3.2525,0.2001,1.07,1983,3475
653,ensure alignment,0.3593,0.5593,0.2,1.56,341,409
654,genai,0.0843,0.2838,0.1994,3.36,173,96
655,assisting with,0.3338,0.5331,0.1993,1.6,325,380
656,outcomes.,0.5191,0.7184,0.1993,1.38,438,591
657,develop,7.0764,7.2743,0.198,1.03,4435,8056
658,the full,0.4058,0.6036,0.1978,1.49,368,462
659,patterns and,0.3601,0.5577,0.1975,1.55,340,410
660,and reducing manual,0.1932,0.3904,0.1971,2.02,238,220
661,coordinate,1.6022,1.7993,0.1971,1.12,1097,1824
662,ensuring data,0.4919,0.6889,0.197,1.4,420,560
663,clinical,1.2271,1.4237,0.1966,1.16,868,1397
664,setup,1.1287,1.3253,0.1965,1.17,808,1285
665,and alignment with,0.1906,0.3871,0.1965,2.03,236,217
666,power bi and,0.4023,0.5987,0.1964,1.49,365,458
667,and alignment,0.3417,0.538,0.1963,1.57,328,389
668,machine learning,1.531,1.7271,0.1961,1.13,1053,1743
669,ve,0.4304,0.6266,0.1961,1.46,382,490
670,real-time data,0.5428,0.7381,0.1952,1.36,450,618
671,architecture,3.3871,3.5822,0.1951,1.06,2184,3856
672,identify trends,0.3285,0.5232,0.1947,1.59,319,374
673,endpoint,0.498,0.6922,0.1941,1.39,422,567
674,python and,1.4072,1.6008,0.1937,1.14,976,1602
675,intern,1.0497,1.2433,0.1936,1.18,758,1195
676,sustainable,0.4796,0.6725,0.1929,1.4,410,546
677,to drive,1.9729,2.1651,0.1922,1.1,1320,2246
678,40 and,0.3215,0.5134,0.1919,1.6,313,366
679,uptime,0.4383,0.6298,0.1915,1.44,384,499
680,and resolve,1.0339,1.2252,0.1914,1.19,747,1177
681,typescript,1.2456,1.4368,0.1913,1.15,876,1418
682,gained,0.9882,1.1793,0.1911,1.19,719,1125
683,with business goals,0.1599,0.351,0.1911,2.2,214,182
684,focuses,0.2143,0.4051,0.1908,1.89,247,244
685,visualization,1.4151,1.6058,0.1907,1.13,979,1611
686,ethical,0.1362,0.3264,0.1902,2.4,199,155
687,i collaborate with,0.0975,0.287,0.1895,2.94,175,111
688,bi and,0.4489,0.638,0.1892,1.42,389,511
689,internal teams,0.4752,0.6643,0.1891,1.4,405,541
690,alerts,0.7133,0.9021,0.1889,1.26,550,812
691,enabling real-time,0.231,0.4199,0.1889,1.82,256,263
692,and streamline,0.3426,0.5314,0.1889,1.55,324,390
693,language models,0.0606,0.2493,0.1887,4.11,152,69
694,shape,0.2398,0.4281,0.1883,1.79,261,273
695,data workflows,0.1959,0.3838,0.1879,1.96,234,223
696,cross-functional collaboration,0.3716,0.5593,0.1877,1.51,341,423
697,by 40 and,0.2995,0.4871,0.1876,1.63,297,341
698,for ai,0.0536,0.2411,0.1875,4.5,147,61
699,shaping,0.2029,0.3904,0.1875,1.92,238,231
700,serve as the,0.2029,0.3904,0.1875,1.92,238,231
701,siem,0.3426,0.5298,0.1872,1.55,323,390
702,copilot,0.1247,0.3116,0.1869,2.5,190,142
703,ai models,0.0527,0.2395,0.1868,4.54,146,60
704,advancing,0.2003,0.3871,0.1868,1.93,236,228
705,professional development,0.4269,0.6134,0.1865,1.44,374,486
706,working on,1.0031,1.1891,0.186,1.19,725,1142
707,support data-driven,0.065,0.251,0.186,3.86,153,74
708,i contribute,0.0553,0.2411,0.1858,4.36,147,63
709,accuracy.,0.5674,0.7529,0.1854,1.33,459,646
710,re,0.1853,0.3707,0.1853,2.0,226,211
711,early,0.6922,0.8775,0.1853,1.27,535,788
712,optimization and,0.4366,0.6216,0.1851,1.42,379,497
713,and data,3.3827,3.5674,0.1847,1.05,2175,3851
714,and cybersecurity,0.1616,0.3461,0.1845,2.14,211,184
715,founder,0.1388,0.3231,0.1843,2.33,197,158
716,challenges and,0.3505,0.5347,0.1842,1.53,326,399
717,stay,0.4392,0.6233,0.1841,1.42,380,500
718,gaining hands-on,0.0474,0.2313,0.1838,4.88,141,54
719,centralized,0.5692,0.7529,0.1837,1.32,459,648
720,user-friendly,0.6957,0.8791,0.1835,1.26,536,792
721,while maintaining,0.8125,0.9956,0.1831,1.23,607,925
722,informed,1.1094,1.2925,0.1831,1.17,788,1263
723,systems ensuring,0.1959,0.3789,0.183,1.93,231,223
724,power automate,0.2205,0.4035,0.183,1.83,246,251
725,as the primary,0.3584,0.5413,0.1829,1.51,330,408
726,validation and,0.5077,0.6905,0.1828,1.36,421,578
727,visual,1.5987,1.7813,0.1826,1.11,1086,1820
728,improvements,2.5157,2.6981,0.1824,1.07,1645,2864
729,initiatives to,0.571,0.7529,0.1819,1.32,459,650
730,statistical,0.9926,1.1744,0.1818,1.18,716,1130
731,pipelines with,0.4383,0.62,0.1817,1.41,378,499
732,workshops and,0.2925,0.474,0.1815,1.62,289,333
733,prompts,0.0518,0.2329,0.1811,4.49,142,59
734,ai agents,0.0141,0.1952,0.1811,13.89,119,16
735,develop and maintain,0.4348,0.6151,0.1803,1.41,375,495
736,by analyzing,0.4102,0.5905,0.1803,1.44,360,467
737,i provide,0.1757,0.3559,0.1802,2.03,217,200
738,and analyze,0.8468,1.0268,0.18,1.21,626,964
739,experiences.,0.3417,0.5216,0.1799,1.53,318,389
740,workflows using,0.4076,0.5872,0.1796,1.44,358,464
741,connectivity,0.4998,0.679,0.1792,1.36,414,569
742,innovation and,0.4032,0.5823,0.1791,1.44,355,459
743,retrieval-augmented,0.0211,0.2001,0.179,9.49,122,24
744,and cross-functional,0.3593,0.538,0.1787,1.5,328,409
745,alignment and,0.3514,0.5298,0.1784,1.51,323,400
746,via,3.2922,3.4707,0.1784,1.05,2116,3748
747,integration and,1.1683,1.3466,0.1783,1.15,821,1330
748,seamless user,0.2416,0.4199,0.1783,1.74,256,275
749,agentic ai,0.0202,0.1985,0.1783,9.82,121,23
750,my responsibilities include,0.0975,0.2756,0.1781,2.83,168,111
751,supportive,0.1862,0.3641,0.1779,1.96,222,212
752,retrieval-augmented generation,0.0193,0.1968,0.1775,10.19,120,22
753,user experience and,0.5033,0.6807,0.1774,1.35,415,573
754,data into,0.8626,1.0399,0.1773,1.21,634,982
755,ai to,0.1054,0.2821,0.1767,2.68,172,120
756,to identify trends,0.2697,0.4461,0.1765,1.65,272,307
757,this role,0.7879,0.9644,0.1765,1.22,588,897
758,serve as a,0.2714,0.4478,0.1764,1.65,273,309
759,and deployed a,0.2126,0.3887,0.1762,1.83,237,242
760,research to,0.5508,0.7266,0.1759,1.32,443,627
761,35,0.8213,0.9972,0.1759,1.21,608,935
762,automating,1.1727,1.3482,0.1756,1.15,822,1335
763,data quality,0.9662,1.1416,0.1753,1.18,696,1100
764,strategies.,0.8222,0.9972,0.1751,1.21,608,936
765,you,0.4322,0.6069,0.1747,1.4,370,492
766,and contribute to,0.173,0.3477,0.1747,2.01,212,197
767,technical documentation,0.3601,0.5347,0.1746,1.48,326,410
768,aimed at,0.3847,0.5593,0.1746,1.45,341,438
769,designing and,0.8064,0.9808,0.1745,1.22,598,918
770,platforms.,0.7229,0.8972,0.1743,1.24,547,823
771,engineered a,0.2416,0.415,0.1734,1.72,253,275
772,365,0.4023,0.5757,0.1734,1.43,351,458
773,combining,0.1959,0.369,0.1732,1.88,225,223
774,startups,0.152,0.3248,0.1728,2.14,198,173
775,updates and,0.7589,0.9316,0.1727,1.23,568,864
776,guiding,0.6149,0.7873,0.1724,1.28,480,700
777,program manager,0.715,0.8874,0.1723,1.24,541,814
778,with it,0.3707,0.5429,0.1722,1.46,331,422
779,federal,1.0022,1.1744,0.1721,1.17,716,1141
780,langchain,0.0448,0.2165,0.1717,4.83,132,51
781,vulnerability assessments,0.1827,0.3543,0.1716,1.94,216,208
782,seamless integration,0.5701,0.7414,0.1713,1.3,452,649
783,performance.,1.4941,1.6648,0.1707,1.11,1015,1701
784,and networking,0.1379,0.3084,0.1705,2.24,188,157
785,exposure to,0.2003,0.3707,0.1704,1.85,226,228
786,python-based,0.2547,0.4248,0.1701,1.67,259,290
787,strategic planning,0.4436,0.6134,0.1698,1.38,374,505
788,time by 40,0.2846,0.4543,0.1697,1.6,277,324
789,trusted,0.3162,0.4855,0.1693,1.54,296,360
790,deployed a,0.2785,0.4478,0.1693,1.61,273,317
791,artificial intelligence,0.2178,0.3871,0.1692,1.78,236,248
792,gaps,0.9364,1.1055,0.1691,1.18,674,1066
793,energy,0.7282,0.8972,0.169,1.23,547,829
794,datasets to,0.1722,0.3412,0.169,1.98,208,196
795,large language models,0.0413,0.2099,0.1687,5.09,128,47
796,aligning with,0.3268,0.4953,0.1686,1.52,302,372
797,i contribute to,0.0501,0.2181,0.1681,4.36,133,57
798,focus is on,0.0632,0.2313,0.168,3.66,141,72
799,controls,1.3378,1.5057,0.1679,1.13,918,1523
800,nonprofit,0.2143,0.3822,0.1678,1.78,233,244
801,boosting,1.0198,1.1875,0.1677,1.16,724,1161
802,gemini,0.0307,0.1985,0.1677,6.46,121,35
803,work closely with,0.5411,0.7086,0.1675,1.31,432,616
804,engage,0.6526,0.8201,0.1675,1.26,500,743
805,maintainability,0.3312,0.4986,0.1675,1.51,304,377
806,by 25,1.1973,1.3647,0.1674,1.14,832,1363
807,and long-term,0.2837,0.4511,0.1673,1.59,275,323
808,microsoft 365,0.1625,0.3297,0.1672,2.03,201,185
809,and contribute,0.2055,0.3723,0.1668,1.81,227,234
810,using react,0.6272,0.7939,0.1667,1.27,484,714
811,system reliability,0.2828,0.4494,0.1666,1.59,274,322
812,hipaa,0.506,0.6725,0.1665,1.33,410,576
813,logic and,0.2012,0.3674,0.1663,1.83,224,229
814,tableau dashboards,0.3751,0.5413,0.1662,1.44,330,427
815,asset,0.8722,1.0382,0.166,1.19,633,993
816,gap between,0.1458,0.3116,0.1658,2.14,190,166
817,backend services,0.3083,0.474,0.1657,1.54,289,351
818,is on,0.1001,0.2657,0.1656,2.65,162,114
819,capstone,0.1379,0.3034,0.1655,2.2,185,157
820,user-centered,0.2697,0.4347,0.165,1.61,265,307
821,exploring,0.1845,0.3494,0.1649,1.89,213,210
822,excited,0.0729,0.2378,0.1649,3.26,145,83
823,and align,0.2143,0.3789,0.1646,1.77,231,244
824,decisions,1.6364,1.8009,0.1645,1.1,1098,1863
825,tailwind css,0.0914,0.2559,0.1645,2.8,156,104
826,deployments,1.1937,1.3581,0.1644,1.14,828,1359
827,adherence,1.3413,1.5057,0.1644,1.12,918,1527
828,authored,0.6904,0.8545,0.1641,1.24,521,786
829,workflows for,0.3593,0.5232,0.164,1.46,319,409
830,clear communication,0.2231,0.3871,0.164,1.73,236,254
831,and infrastructure,0.3724,0.5363,0.1639,1.44,327,424
832,actionable insights for,0.1889,0.3526,0.1638,1.87,215,215
833,a custom,0.412,0.5757,0.1637,1.4,351,469
834,chapter,0.2152,0.3789,0.1637,1.76,231,245
835,bridging,0.166,0.3297,0.1637,1.99,201,189
836,automated data,0.3909,0.5544,0.1635,1.42,338,445
837,work closely,0.5534,0.7168,0.1634,1.3,437,630
838,enable,1.2078,1.3712,0.1634,1.14,836,1375
839,hardware software and,0.1458,0.3084,0.1625,2.11,188,166
840,streamline workflows,0.1116,0.2739,0.1624,2.46,167,127
841,data accuracy and,0.3347,0.497,0.1623,1.48,303,381
842,ai agent,0.0149,0.1771,0.1622,11.86,108,17
843,prompt engineering,0.0395,0.2017,0.1622,5.1,123,45
844,and automation,0.5253,0.6872,0.162,1.31,419,598
845,into actionable insights,0.1168,0.2788,0.162,2.39,170,133
846,generation rag,0.0202,0.1821,0.1619,9.01,111,23
847,by integrating,0.4322,0.5938,0.1616,1.37,362,492
848,a seamless,0.5323,0.6938,0.1615,1.3,423,606
849,the gap between,0.137,0.2985,0.1615,2.18,182,156
850,validated,0.6078,0.7693,0.1614,1.27,469,692
851,a secure,0.2635,0.4248,0.1613,1.61,259,300
852,logs,0.8889,1.0497,0.1608,1.18,640,1012
853,contributing to the,0.4691,0.6298,0.1608,1.34,384,534
854,meaningful,0.4445,0.6052,0.1608,1.36,369,506
855,device,1.04,1.2006,0.1606,1.15,732,1184
856,gaining hands-on experience,0.043,0.2034,0.1603,4.73,124,49
857,workflows with,0.2301,0.3904,0.1602,1.7,238,262
858,data into actionable,0.101,0.2608,0.1598,2.58,159,115
859,ensure accurate,0.2389,0.3986,0.1596,1.67,243,272
860,the gap,0.159,0.3182,0.1592,2.0,194,181
861,bi dashboards to,0.1247,0.2838,0.159,2.27,173,142
862,it support,0.238,0.3969,0.1589,1.67,242,271
863,to extract,0.571,0.7299,0.1589,1.28,445,650
864,actionable insights that,0.1037,0.2624,0.1588,2.53,160,118
865,preparing,0.7958,0.9546,0.1588,1.2,582,906
866,hardware software,0.2205,0.3789,0.1584,1.72,231,251
867,and stakeholder,0.3865,0.5445,0.1581,1.41,332,440
868,to gather,0.9346,1.0924,0.1578,1.17,666,1064
869,transform,0.7115,0.8693,0.1578,1.22,530,810
870,clear actionable,0.0589,0.2165,0.1577,3.68,132,67
871,the intersection,0.072,0.2296,0.1576,3.19,140,82
872,utilize,1.0383,1.1957,0.1574,1.15,729,1182
873,protect,0.4594,0.6167,0.1573,1.34,376,523
874,intersection,0.0887,0.246,0.1573,2.77,150,101
875,i will,0.0773,0.2345,0.1573,3.03,143,88
876,enabling faster,0.1581,0.3149,0.1568,1.99,192,180
877,contribute to the,0.2337,0.3904,0.1567,1.67,238,266
878,gap,0.5683,0.725,0.1566,1.28,442,647
879,and actionable,0.1748,0.3313,0.1565,1.9,202,199
880,aimed,0.498,0.6544,0.1564,1.31,399,567
881,stakeholders to,1.9694,2.1257,0.1563,1.08,1296,2242
882,ensure timely,0.4866,0.643,0.1563,1.32,392,554
883,detect,0.5262,0.6823,0.1562,1.3,416,599
884,continuous,3.0129,3.1689,0.156,1.05,1932,3430
885,responses,0.484,0.6397,0.1557,1.32,390,551
886,protection,0.7809,0.9366,0.1557,1.2,571,889
887,i work closely,0.0905,0.246,0.1556,2.72,150,103
888,the intersection of,0.0694,0.2247,0.1553,3.24,137,79
889,collaborated with cross-functional,0.9864,1.1416,0.1551,1.16,696,1123
890,intersection of,0.0747,0.2296,0.155,3.08,140,85
891,efficiency by,1.2262,1.3811,0.1548,1.13,842,1396
892,readiness.,0.2029,0.3576,0.1547,1.76,218,231
893,i develop,0.0799,0.2345,0.1546,2.93,143,91
894,vector,0.1309,0.2854,0.1545,2.18,174,149
895,interfaces,1.0462,1.2006,0.1545,1.15,732,1191
896,real,1.1481,1.3023,0.1543,1.13,794,1307
897,gather,1.2464,1.4007,0.1543,1.12,854,1419
898,where i,0.4919,0.6462,0.1543,1.31,394,560
899,events and,0.7282,0.8824,0.1542,1.21,538,829
900,developing a,0.5428,0.6971,0.1542,1.28,425,618
901,responsibilities,2.6589,2.813,0.154,1.06,1715,3027
902,reducing manual effort,0.1511,0.3051,0.154,2.02,186,172
903,business goals.,0.2134,0.3674,0.154,1.72,224,243
904,models and,0.6693,0.8234,0.154,1.23,502,762
905,and usability,0.3136,0.4675,0.1539,1.49,285,357
906,executive-level,0.1528,0.3067,0.1539,2.01,187,174
907,posture,0.3742,0.5281,0.1539,1.41,322,426
908,semantic,0.1414,0.2952,0.1538,2.09,180,161
909,downtime,0.701,0.8545,0.1536,1.22,521,798
910,cohesive,0.4058,0.5593,0.1535,1.38,341,462
911,and network,0.5551,0.7086,0.1534,1.28,432,632
912,i ensure,0.1107,0.2641,0.1534,2.39,161,126
913,experiences,1.322,1.4745,0.1526,1.12,899,1505
914,and validation,0.4216,0.5741,0.1524,1.36,350,480
915,with stakeholders to,0.5613,0.7135,0.1522,1.27,435,639
916,peers,0.3795,0.5314,0.152,1.4,324,432
917,penetration,0.3452,0.497,0.1518,1.44,303,393
918,experience in,1.3211,1.4729,0.1518,1.11,898,1504
919,foundational,0.2846,0.4363,0.1517,1.53,266,324
920,iterative,0.3751,0.5265,0.1514,1.4,321,427
921,data analyst,0.2521,0.4035,0.1514,1.6,246,287
922,deliver actionable,0.0817,0.2329,0.1512,2.85,142,93
923,complex data,0.4032,0.5544,0.1512,1.38,338,459
924,with ai,0.0474,0.1985,0.151,4.18,121,54
925,threats.,0.1853,0.3362,0.1509,1.81,205,211
926,interactions,0.8415,0.9923,0.1508,1.18,605,958
927,initiatives and,0.5086,0.6594,0.1508,1.3,402,579
928,using next.js,0.0395,0.1903,0.1507,4.81,116,45
929,mission-critical,0.3022,0.4527,0.1505,1.5,276,344
930,enhancing user,0.3268,0.4773,0.1505,1.46,291,372
931,and foster,0.1414,0.292,0.1505,2.06,178,161
