label,domain,llm_likelihood,signal_type
slop_2026,typescript.page,97,substance
human_pre2022,changelog.com,3,substance
human_pre2022,volkamerlab.org,6,substance
mainstream_2026,encs.eu,30,none
human_pre2022,immunityinc.com,15,substance
human_pre2022,testing.gershon.info,3,substance
slop_2026,programa.space,95,substance
slop_2026,datawizard.cloud,97,substance
mainstream_2026,skillshare.runkids.cc,72,structure
slop_2026,investigation.cloud,95,substance
human_pre2022,block81.com,25,substance
mainstream_2026,sansan.connpass.com,10,substance
slop_2026,webdev.cloud,95,substance
human_pre2022,subinsb.com,4,vocabulary
slop_2026,recruits.cloud,97,substance
mainstream_2026,lmgsecurity.com,62,structure
mainstream_2026,x41-dsec.de,62,vocabulary
mainstream_2026,blog.hebbs.ai,78,structure
human_pre2022,fission.io,2,substance
human_pre2022,cyberark.com,15,substance
slop_2026,deploy.website,95,substance
mainstream_2026,academicjobsonline.org,18,substance
mainstream_2026,usecarly.com,95,structure
mainstream_2026,jobs.ametek.com,55,structure
slop_2026,worlddata.cloud,97,substance
human_pre2022,www2.sigsoft.org,3,substance
human_pre2022,irrational-magnus.tumblr.com,2,structure
mainstream_2026,spacefrontiers.org,25,substance
mainstream_2026,researchsquare.com,72,structure
mainstream_2026,jobs.paloaltonetworks.com,25,structure
mainstream_2026,getaibook.com,93,structure
human_pre2022,rubberduckdev.com,4,substance
slop_2026,websitehost.online,97,substance
mainstream_2026,fetchdecodeexecute.substack.com,15,substance
slop_2026,typescript.page,97,substance
slop_2026,devtools.cloud,97,substance
slop_2026,qubit365.uk,97,substance
mainstream_2026,toolfountain.com,88,structure
human_pre2022,epickrram.blogspot.com,10,substance
human_pre2022,adamsilver.io,15,substance
human_pre2022,akash.network,8,substance
mainstream_2026,knightli.com,88,structure
human_pre2022,enterprisetimes.co.uk,8,substance
human_pre2022,fission.io,2,substance
mainstream_2026,networkworld.com,18,substance
human_pre2022,cyberark.com,18,substance
slop_2026,mytest.cloud,95,structure
human_pre2022,openmined.org,15,vocabulary
slop_2026,myscript.cloud,96,substance
slop_2026,beek.cloud,95,substance
human_pre2022,bdti.com,15,none
human_pre2022,resources.rstudio.com,8,substance
slop_2026,websitehost.online,97,substance
human_pre2022,outofscope.bureauofbrightideas.com,5,substance
slop_2026,typescript.page,95,substance
slop_2026,techsifted.com,78,structure
slop_2026,qubit.host,95,substance
human_pre2022,azuredevops.show,10,substance
slop_2026,thecorporate.cloud,97,substance
mainstream_2026,builder.io,15,substance
slop_2026,codenscripts.com,95,substance
slop_2026,tradersview.net,97,substance
slop_2026,thecode.website,97,substance
mainstream_2026,akdevcraft.substack.com,88,structure
human_pre2022,resources.rstudio.com,12,substance
human_pre2022,artiba.org,30,structure
mainstream_2026,aisecurityandsafety.org,95,structure
slop_2026,typescript.page,97,substance
mainstream_2026,jobs.paloaltonetworks.com,25,structure
slop_2026,typescript.page,95,substance
human_pre2022,adventuresinoss.com,3,substance
slop_2026,bigthings.cloud,97,substance
mainstream_2026,googleappsupdates.blogspot.in,55,substance
slop_2026,solitary.cloud,97,substance
human_pre2022,amytabb.com,3,substance
slop_2026,quicktech.cloud,97,substance
human_pre2022,heptapod.net,4,substance
mainstream_2026,jclinic.mit.edu,22,substance
mainstream_2026,xcapit.com,88,substance
human_pre2022,resources.rstudio.com,22,substance
slop_2026,quicktech.cloud,97,substance
human_pre2022,serverless.com,8,substance
human_pre2022,helpercode.com,3,vocabulary
slop_2026,aiprompts.cloud,96,substance
slop_2026,thehost.cloud,97,substance
mainstream_2026,yadavrohit.substack.com,88,structure
mainstream_2026,ofox.ai,93,substance
slop_2026,appstudio.cloud,96,substance
human_pre2022,evantravers.com,4,substance
mainstream_2026,chatai.com,97,substance
mainstream_2026,odr.chalmers.se,26,substance
human_pre2022,candost.blog,6,substance
slop_2026,nextstream.cloud,96,substance
slop_2026,qbitshare.com,97,substance
mainstream_2026,humanoidroboticstechnology.com,82,structure
mainstream_2026,d3.harvard.edu,68,structure
slop_2026,digitalhouse.cloud,96,substance
human_pre2022,blog.dask.org,2,substance
mainstream_2026,ai.wharton.upenn.edu,95,structure
mainstream_2026,researchsquare.com,25,substance
human_pre2022,gdit.com,25,substance
slop_2026,swipe.cloud,97,substance
slop_2026,opensoftware.cloud,97,substance
slop_2026,flowqbot.com,95,substance
human_pre2022,j-query.blogspot.com,10,substance
mainstream_2026,mironov.com,18,substance
human_pre2022,scrapingbee.com,95,substance
human_pre2022,vickylai.com,13,substance
human_pre2022,open-scap.org,8,substance
human_pre2022,jnolis.com,3,substance
slop_2026,codenscripts.com,96,substance
slop_2026,quantumlabs.cloud,97,substance
mainstream_2026,martechseries.com,55,structure
mainstream_2026,startupfortune.com,62,structure
mainstream_2026,uctoday.com,22,substance
slop_2026,tecksite.com,97,substance
human_pre2022,shostack.org,4,substance
slop_2026,bitstorrent.com,95,substance
slop_2026,powerapp.pro,96,substance
human_pre2022,truenas.com,4,substance
slop_2026,powerapp.pro,95,substance
human_pre2022,chrismcmahonsblog.blogspot.com,3,substance
slop_2026,opensoftware.cloud,97,substance
slop_2026,verifies.cloud,97,substance
slop_2026,webhosts.top,96,substance
slop_2026,functions.top,97,substance
mainstream_2026,infrastructure-as-code.com,22,substance
human_pre2022,adam-dziedzic.com,4,substance
human_pre2022,cloudonaut.io,4,substance
mainstream_2026,re-cinq.com,68,substance
mainstream_2026,swifttechsolutions.com,95,substance
mainstream_2026,search.jobs.barclays,15,structure
slop_2026,passive.cloud,97,substance
human_pre2022,essencesmartcare.com,8,substance
mainstream_2026,backendapplication.com,96,substance
human_pre2022,rabbitstack.github.io,5,substance
slop_2026,codeacademy.site,97,substance
human_pre2022,silkhom.com,10,substance
mainstream_2026,the-oracleai.com,97,substance
slop_2026,details.cloud,97,substance
mainstream_2026,preemptive.com,92,structure
mainstream_2026,brmk.me,15,substance
slop_2026,whata.cloud,97,substance
human_pre2022,immunityinc.com,25,substance
human_pre2022,dataengineeringpodcast.com,8,substance
slop_2026,balances.cloud,96,substance
slop_2026,webs.direct,97,substance
slop_2026,quicktech.cloud,97,substance
human_pre2022,conputer.substack.com,4,substance
human_pre2022,adventuresinoss.com,2,substance
slop_2026,typescript.website,95,substance
slop_2026,hypes.pro,97,substance
slop_2026,topchat.us,96,substance
slop_2026,datafabric.cloud,97,substance
mainstream_2026,rd.hitachi.com,22,substance
human_pre2022,cyberark.com,20,substance
slop_2026,dev-tools.cloud,97,substance
human_pre2022,deku.posstree.com,6,vocabulary
slop_2026,typescript.page,97,substance
human_pre2022,tanho.ca,4,substance
mainstream_2026,swoogo.events,63,structure
slop_2026,quickfix.cloud,97,substance
mainstream_2026,cnti.org,72,substance
human_pre2022,evalsp21.classes.andrewheiss.com,3,substance
human_pre2022,jkdev.me,4,substance
mainstream_2026,safeguard.sh,93,structure
human_pre2022,qzaidi.github.io,3,substance
human_pre2022,aguidetocloud.com,95,structure
slop_2026,webscraper.cloud,97,substance
human_pre2022,simonhearne.com,3,substance
mainstream_2026,kdnuggets.com,10,substance
slop_2026,preprod.cloud,97,substance
slop_2026,securing.website,96,substance
mainstream_2026,dev.classmethod.jp,45,substance
human_pre2022,thedataexchange.media,3,substance
mainstream_2026,vdf.ai,88,substance
slop_2026,scraper.page,97,substance
mainstream_2026,nofluffjobs.com,45,substance
slop_2026,messages.solutions,97,substance
human_pre2022,syntax.fm,3,substance
human_pre2022,josem.co,4,substance
mainstream_2026,bayareatimes.com,15,substance
slop_2026,typescript.website,95,substance
mainstream_2026,agentsonpayroll.substack.com,88,substance
mainstream_2026,coderabbit.ai,68,structure
human_pre2022,aguidetocloud.com,95,substance
human_pre2022,lup.lub.lu.se,8,substance
slop_2026,codeguru.app,96,substance
slop_2026,datawizards.cloud,96,substance
slop_2026,boxqbit.com,97,substance
mainstream_2026,q-screen.ai,18,substance
human_pre2022,sysmansquad.com,4,substance
slop_2026,typescript.website,95,substance
mainstream_2026,firealarm.cloud,96,substance
human_pre2022,nutrient.io,12,substance
slop_2026,various.cloud,95,substance
slop_2026,theplanet.cloud,97,substance
slop_2026,worlddata.cloud,97,substance
human_pre2022,040code.github.io,3,vocabulary
human_pre2022,inflectra.com,7,substance
human_pre2022,materialize.com,25,substance
mainstream_2026,safeguard.sh,93,structure
human_pre2022,developeronfire.com,12,substance
human_pre2022,asctechnologies.com,9,substance
mainstream_2026,jobs.paloaltonetworks.com,15,substance
human_pre2022,azuredevops.show,25,structure
human_pre2022,nickhodges.com,4,substance
mainstream_2026,github.atom.io,62,substance
mainstream_2026,journeyteam.com,89,substance
slop_2026,seo-web.site,95,substance
slop_2026,webscraper.cloud,95,substance
slop_2026,boxqubit.com,97,substance
slop_2026,webtechnoworld.com,97,substance
mainstream_2026,directdefense.com,58,structure
mainstream_2026,spin.atomicobject.com,72,substance
human_pre2022,serteam.co.uk,78,structure
slop_2026,defensive.cloud,96,substance
slop_2026,warehouses.solutions,97,substance
slop_2026,sitehost.cloud,97,substance
slop_2026,taskmanager.space,95,substance
human_pre2022,catonetworks.com,8,substance
mainstream_2026,kilocode.substack.com,32,substance
human_pre2022,nikoheikkila.fi,15,substance
human_pre2022,changelog.com,3,substance
human_pre2022,brivo.com,35,structure
mainstream_2026,automationworld.com,78,substance
slop_2026,techsifted.com,83,structure
slop_2026,qubit.host,98,substance
mainstream_2026,cline.bot,78,structure
human_pre2022,paddy.carvers.com,3,substance
mainstream_2026,vinny.dev,78,structure
human_pre2022,googleappengine.blogspot.com,10,substance
mainstream_2026,therightgpt.com,91,substance
mainstream_2026,weblog.fortnow.com,5,substance
mainstream_2026,techday.in,68,substance
slop_2026,typescript.website,95,substance
mainstream_2026,aprecomm.ai,92,substance
mainstream_2026,unified.to,93,structure
slop_2026,qbit365.com,97,substance
slop_2026,datawizards.cloud,97,substance
slop_2026,untied.dev,96,substance
mainstream_2026,typescript.fun,15,substance
slop_2026,qbot365.com,96,substance
slop_2026,wecloud.pro,97,substance
mainstream_2026,howdoiuseai.com,93,structure
mainstream_2026,jobs.boeing.com,8,substance
mainstream_2026,offultra.com,72,structure
slop_2026,analysts.cloud,95,substance
slop_2026,typescript.page,97,substance
slop_2026,megastorage.cloud,96,substance
slop_2026,webtechnoworld.com,95,substance
mainstream_2026,researchrepository.wvu.edu,42,substance
human_pre2022,blog.fsck.com,3,substance
slop_2026,venturecap.biz,97,substance
mainstream_2026,blog.k10s.dev,30,substance
human_pre2022,cloudonaut.io,5,substance
slop_2026,programa.club,96,substance
slop_2026,datafabric.cloud,97,substance
human_pre2022,developertoarchitect.com,2,substance
mainstream_2026,opensourceforu.com,78,substance
human_pre2022,mariogiancini.com,83,substance
mainstream_2026,jobs.dell.com,55,structure
slop_2026,typescript.website,97,substance
human_pre2022,inflectra.com,15,substance
slop_2026,typescript.page,97,substance
slop_2026,datawizards.cloud,97,substance
slop_2026,boxqbit.co.uk,97,substance
slop_2026,datawizards.cloud,97,substance
mainstream_2026,insightglobal.com,93,substance
human_pre2022,microsoftcloudshow.com,3,substance
slop_2026,devices.live,97,substance
mainstream_2026,rygr.us,38,substance
slop_2026,host-server.cloud,97,substance
human_pre2022,rehansaeed.com,2,substance
slop_2026,warehouses.solutions,97,substance
slop_2026,thecoding.club,97,substance
